Year,Month,Date,Chapter,General Fund,Savings/Strike
2026,Jan,1/22/2026,WORKING WA,"$11,087.00 ",$450.40 
2026,Jan,1/22/2026,BSSU,"$79,388.25 ","$90,463.53 "
2026,Jan,1/22/2026,LA LABOR FED,"$16,986.11 ",$0.00 
2026,Jan,1/22/2026,PROTEC17,"$26,814.09 ",$0.00 
2026,Jan,1/22/2026,SEIU 925 ,"$274,715.31 ",$0.00 
2026,Jan,1/22/2026,SEIU 2015 ,"$214,744.69 ","$219,012.85 "
2026,Jan,1/22/2026,SEIU 221 ,"$24,420.81 ",$0.00 
2026,Jan,1/22/2026,UFCW 3000,"$82,467.96 ",$0.00 
2026,Jan,1/22/2026,MEAWU,"$2,594.41 ",$0.00 
2026,Jan,1/22/2026,NVLF,"$4,320.30 ",$0.00 
2026,Jan,1/22/2026,UDWU,"$43,623.04 ",$0.00 
2026,Jan,1/22/2026,UFCW367,"$8,480.58 ",$0.00 
2026,Jan,1/22/2026,KIWA,"$3,575.61 ",$0.00 
2025,Dec,12/16/2025,WORKING WA,"$10,703.91 ",$407.78 
2025,Dec,12/16/2025,BSSU,"$76,324.24 ","$90,452.57 "
2025,Dec,12/16/2025,LA LABOR FED,"$16,986.11 ",$0.00 
2025,Dec,12/16/2025,PROTEC17,"$26,325.77 ",$0.00 
2025,Dec,12/16/2025,SEIU 925 ,"$274,619.62 ",$0.00 
2025,Dec,12/16/2025,SEIU 2015 ,"$214,836.67 ","$218,984.95 "
2025,Dec,12/16/2025,SEIU 221 ,"$23,583.25 ",$0.00 
2025,Dec,12/16/2025,UFCW 3000,"$80,801.96 ",$0.00 
2025,Dec,12/16/2025,MEAWU,"$2,852.91 ",$0.00 
2025,Dec,12/16/2025,NVLF,"$3,684.35 ",$0.00 
2025,Dec,12/16/2025,UDWU,"$31,292.74 ",$0.00 
2025,Dec,12/16/2025,UFCW367,"$7,992.30 ",$0.00 
2025,Dec,12/16/2025,KIWA,"$2,544.90 ",$0.00 
2025,Nov,11/18/2025,WORKING WA,"$10,703.91 ",$407.73 
2025,Nov,11/18/2025,BSSU,"$87,836.45 ","$81,151.56 "
2025,Nov,11/18/2025,LA LABOR FED,"$16,986.11 ",$0.00 
2025,Nov,11/18/2025,PROTEC17,"$26,852.99 ",$0.00 
2025,Nov,11/18/2025,SEIU 925 ,"$276,985.07 ",$0.00 
2025,Nov,11/18/2025,SEIU 2015 ,"$215,745.16 ","$218,957.95 "
2025,Nov,11/18/2025,SEIU 221 ,"$23,583.25 ",$0.00 
2025,Nov,11/18/2025,UFCW 3000,"$79,146.87 ",$0.00 
2025,Nov,11/18/2025,MEAWU,"$3,450.91 ",$0.00 
2025,Nov,11/18/2025,NVLF,"$3,684.35 ",$0.00 
2025,Nov,11/18/2025,UDWU,"$31,292.74 ",$0.00 
2025,Nov,11/18/2025,UFCW367,"$7,372.52 ",$0.00 
2025,Nov,11/18/2025,KIWA,"$2,544.90 ",$0.00 
2025,Oct,10/21/2025,WORKING WA,"$10,315.02 ",$364.47 
2025,Oct,10/21/2025,BSSU,"$85,900.27 ","$81,141.22 "
2025,Oct,10/21/2025,LA LABOR FED,"$14,750.97 ",$0.00 
2025,Oct,10/21/2025,PROTEC17,"$26,848.38 ",$0.00 
2025,Oct,10/21/2025,SEIU 925 ,"$275,796.47 ",$0.00 
2025,Oct,10/21/2025,SEIU 2015 ,"$216,120.16 ","$218,930.05 "
2025,Oct,10/21/2025,SEIU 221 ,"$22,482.86 ",$0.00 
